"","id","isResult","h.id","h.title","h.short_title","a.id","a.title","a.short_title","goals.h","goals.a","xG.h","xG.a","datetime","forecast.w","forecast.d","forecast.l"
"143","15569",TRUE,110,Fiorentina,FIO,97,Bologna,BOL,0,0,0.352245,0.633738,"2021-01-03 14:00:00",0.1625,0.4493,0.3882
"144","15570",TRUE,101,Genoa,GEN,96,Lazio,LAZ,1,1,1.14509,1.34628,"2021-01-03 14:00:00",0.2625,0.3397,0.3978
"145","15573",TRUE,230,Parma Calcio 1913,PAR,113,Torino,TOR,0,3,0.846876,1.67327,"2021-01-03 14:00:00",0.1595,0.2467,0.5938
"146","15574",TRUE,95,Roma,ROM,102,Sampdoria,SAM,1,0,2.40692,0.229603,"2021-01-03 14:00:00",0.896,0.0858,0.0182
"147","15575",TRUE,260,Spezia,,94,Verona,VER,0,1,0.450318,1.5461,"2021-01-03 14:00:00",0.0777,0.2298,0.6925
"148","15567",TRUE,222,Benevento,BEN,111,AC Milan,MIL,0,2,2.34965,1.53692,"2021-01-03 17:00:00",0.5825,0.244,0.1735
"149","15572",TRUE,98,Juventus,JUV,99,Udinese,UDI,4,1,3.54071,1.75781,"2021-01-03 19:45:00",0.7626,0.138,0.0994
"150","15578",TRUE,116,Cagliari,CAG,222,Benevento,BEN,1,2,1.16751,1.23401,"2021-01-06 11:30:00",0.3342,0.3061,0.3597
"151","15576",TRUE,107,Atalanta,ATA,230,Parma Calcio 1913,PAR,3,0,2.38532,0.0467904,"2021-01-06 14:00:00",0.9406,0.0569,0.0025
"152","15577",TRUE,97,Bologna,BOL,99,Udinese,UDI,2,2,1.30678,1.70449,"2021-01-06 14:00:00",0.2536,0.275,0.4714
"153","15579",TRUE,115,Crotone,CRO,95,Roma,ROM,1,3,0.498045,1.89996,"2021-01-06 14:00:00",0.05,0.1491,0.8009
"154","15580",TRUE,96,Lazio,LAZ,110,Fiorentina,FIO,2,1,1.91891,1.77283,"2021-01-06 14:00:00",0.3992,0.2845,0.3163
"155","15583",TRUE,102,Sampdoria,SAM,106,Inter,INT,2,1,1.3375,2.49173,"2021-01-06 14:00:00",0.1224,0.2108,0.6668
"156","15584",TRUE,104,Sassuolo,SAS,101,Genoa,GEN,2,1,2.26,1.04966,"2021-01-06 14:00:00",0.6949,0.217,0.0881
"157","15585",TRUE,113,Torino,TOR,94,Verona,VER,1,1,1.36437,0.299538,"2021-01-06 14:00:00",0.6963,0.2426,0.0611
"158","15582",TRUE,105,Napoli,NAP,260,Spezia,,1,2,4.01311,1.92698,"2021-01-06 17:00:00",0.8178,0.1202,0.062
"159","15581",TRUE,111,AC Milan,MIL,98,Juventus,JUV,1,3,1.02584,2.3569,"2021-01-06 19:45:00",0.1225,0.1783,0.6992
"160","15586",TRUE,222,Benevento,BEN,107,Atalanta,ATA,1,4,0.945676,4.0811,"2021-01-09 14:00:00",0.013,0.0495,0.9375
"161","15588",TRUE,101,Genoa,GEN,97,Bologna,BOL,2,0,1.0511,1.03548,"2021-01-09 17:00:00",0.3313,0.3351,0.3336
"162","15590",TRUE,111,AC Milan,MIL,113,Torino,TOR,2,0,1.58807,0.372133,"2021-01-09 19:45:00",0.7672,0.1825,0.0503
"163","15592",TRUE,95,Roma,ROM,106,Inter,INT,2,2,0.904251,1.9311,"2021-01-10 11:30:00",0.1455,0.2236,0.6309
